Sample Size,Cumulant,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,K2_mean,K2_err,,,,,,,,K3_mean,K3_err,,,,,,,,K4_mean,K4_err
1000,kappa2,0.004835988,0.009536528,0.00021264,0.000144077,0.001817313,0.00330931,0.001774022,1000,kappa3,0.003515428,0.003570654,0.015083872,0.026340284,0.005775473,0.010857142,0.004418201,1000,kappa4,0.039491919,0.046194368,0.024673624,0.042708758,0.043138229,0.03924138,0.003793642
5000,kappa2,0.000989621,0.000552643,0.000592335,1.51E-05,7.76E-06,0.000431497,0.000187745,5000,kappa3,0.000316018,0.003199179,0.000908701,0.000359032,0.003001137,0.001556814,0.000639443,5000,kappa4,0.014330905,0.002873569,0.005703332,0.00653374,0.00445666,0.006779641,0.001986129
10000,kappa2,2.37E-05,0.000842855,0.000429755,0.000247455,0.000234595,0.000355678,0.00013773,10000,kappa3,0.001790984,0.000146648,0.001830975,5.95E-05,0.002922998,0.001350211,0.000548347,10000,kappa4,0.002479686,0.010488288,0.003946666,0.004873286,0.016450864,0.007647758,0.002585227
50000,kappa2,1.60E-06,8.86E-06,2.91E-05,6.11E-05,4.05E-05,2.82E-05,1.08E-05,50000,kappa3,0.000639447,0.000331622,0.000798297,0.000235744,0.000207082,0.000442438,0.00011744,50000,kappa4,0.001042561,0.002755402,0.001238134,0.001823943,0.002859341,0.001943876,0.000375598
100000,kappa2,1.18E-05,3.20E-06,1.51E-05,5.11E-05,5.17E-06,1.73E-05,8.74E-06,100000,kappa3,0.00010293,0.000170045,0.000147755,9.16E-05,3.91E-05,0.000110292,2.29E-05,100000,kappa4,0.00043067,0.00090838,0.000943852,0.000733852,0.00015327,0.000634005,0.000150617
500000,kappa2,3.02E-06,7.77E-06,2.47E-06,4.69E-06,2.65E-07,3.64E-06,1.25E-06,500000,kappa3,4.00E-05,1.71E-05,1.89E-05,8.24E-05,5.06E-06,3.27E-05,1.36E-05,500000,kappa4,0.000146501,0.000151149,0.000442296,7.73E-05,0.000187794,0.000201006,6.29E-05
1000000,kappa2,1.76E-06,3.70E-07,2.66E-08,1.05E-06,6.04E-06,1.85E-06,1.09E-06,1000000,kappa3,1.84E-06,7.92E-06,1.04E-06,1.02E-05,4.83E-07,4.30E-06,1.99E-06,1000000,kappa4,2.31E-05,9.52E-05,4.84E-06,2.01E-05,2.22E-05,3.31E-05,1.59E-05
5000000,kappa2,6.12E-08,4.29E-07,7.87E-07,1.69E-07,6.93E-07,4.28E-07,1.42E-07,5000000,kappa3,4.94E-07,8.59E-07,2.40E-08,3.80E-06,6.47E-06,2.33E-06,1.23E-06,5000000,kappa4,8.75E-06,4.70E-06,2.72E-06,1.11E-05,3.71E-06,6.20E-06,1.60E-06
10000000,kappa2,4.91E-07,1.49E-07,2.69E-07,9.62E-08,8.35E-08,2.18E-07,7.57E-08,10000000,kappa3,1.44E-06,2.27E-06,1.12E-06,2.03E-07,1.31E-06,1.27E-06,3.31E-07,10000000,kappa4,6.11E-06,8.57E-08,5.84E-06,6.29E-06,4.10E-06,4.48E-06,1.17E-06
